id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
1,2017,Hyderabad,05-04-2017,SRH,RCB,RCB,field,normal,0,SRH,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong
2,2017,Pune,06-04-2017,MI,RPS,RPS,field,normal,0,RPS,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi
3,2017,Rajkot,07-04-2017,GL,KKR,KKR,field,normal,0,KKR,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan
4,2017,Indore,08-04-2017,RPS,KXIP,KXIP,field,normal,0,KXIP,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin
5,2017,Bangalore,08-04-2017,RCB,DD,RCB,bat,normal,0,RCB,15,0,KM Jadhav,M Chinnaswamy Stadium,,
6,2017,Hyderabad,09-04-2017,GL,SRH,SRH,field,normal,0,SRH,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong
7,2017,Mumbai,09-04-2017,KKR,MI,MI,field,normal,0,MI,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan
8,2017,Indore,10-04-2017,RCB,KXIP,RCB,bat,normal,0,KXIP,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin
9,2017,Pune,11-04-2017,DD,RPS,RPS,field,normal,0,DD,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi
10,2017,Mumbai,12-04-2017,SRH,MI,MI,field,normal,0,MI,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan
11,2017,Kolkata,13-04-2017,KXIP,KKR,KKR,field,normal,0,KKR,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong
12,2017,Bangalore,14-04-2017,RCB,MI,MI,field,normal,0,MI,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary
13,2017,Rajkot,14-04-2017,RPS,GL,GL,field,normal,0,GL,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi
14,2017,Kolkata,15-04-2017,KKR,SRH,SRH,field,normal,0,KKR,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong
15,2017,Delhi,15-04-2017,DD,KXIP,DD,bat,normal,0,DD,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon
16,2017,Mumbai,16-04-2017,GL,MI,MI,field,normal,0,MI,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi
17,2017,Bangalore,16-04-2017,RPS,RCB,RCB,field,normal,0,RPS,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin
18,2017,Delhi,17-04-2017,DD,KKR,DD,bat,normal,0,KKR,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan
19,2017,Hyderabad,17-04-2017,SRH,KXIP,KXIP,field,normal,0,SRH,5,0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh
20,2017,Rajkot,18-04-2017,RCB,GL,GL,field,normal,0,RCB,21,0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma
21,2017,Hyderabad,19-04-2017,SRH,DD,SRH,bat,normal,0,SRH,15,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong
22,2017,Indore,20-04-2017,KXIP,MI,MI,field,normal,0,MI,0,8,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin
23,2017,Kolkata,21-04-2017,KKR,GL,GL,field,normal,0,GL,0,4,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon
24,2017,Mumbai,22-04-2017,MI,DD,DD,field,normal,0,MI,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi
25,2017,Pune,22-04-2017,SRH,RPS,RPS,field,normal,0,RPS,0,6,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh
26,2017,Rajkot,23-04-2017,KXIP,GL,GL,field,normal,0,KXIP,26,0,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus
27,2017,Kolkata,23-04-2017,KKR,RCB,RCB,field,normal,0,KKR,82,0,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan
28,2017,Mumbai,24-04-2017,RPS,MI,MI,field,normal,0,RPS,3,0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi
29,2017,Pune,26-04-2017,RPS,KKR,KKR,field,normal,0,KKR,0,7,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong
30,2017,Bangalore,27-04-2017,RCB,GL,GL,field,normal,0,GL,0,7,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin
31,2017,Kolkata,28-04-2017,DD,KKR,KKR,field,normal,0,KKR,0,7,G Gambhir,Eden Gardens,NJ Llong,S Ravi
32,2017,Chandigarh,28-04-2017,SRH,KXIP,KXIP,field,normal,0,SRH,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan
33,2017,Pune,29-04-2017,RPS,RCB,RCB,field,normal,0,RPS,61,0,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,M Erasmus
34,2017,Rajkot,29-04-2017,GL,MI,GL,bat,tie,0,MI,0,0,KH Pandya,Saurashtra Cricket Association Stadium,AK Chaudhary,CB Gaffaney
35,2017,Chandigarh,30-04-2017,DD,KXIP,KXIP,field,normal,0,KXIP,0,10,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde,CK Nandan
36,2017,Hyderabad,30-04-2017,SRH,KKR,KKR,field,normal,0,SRH,48,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,S Ravi
37,2017,Mumbai,01-05-2017,RCB,MI,RCB,bat,normal,0,MI,0,5,RG Sharma,Wankhede Stadium,AK Chaudhary,CB Gaffaney
38,2017,Pune,01-05-2017,GL,RPS,RPS,field,normal,0,RPS,0,5,BA Stokes,Maharashtra Cricket Association Stadium,M Erasmus,C Shamshuddin
39,2017,Delhi,02-05-2017,SRH,DD,DD,field,normal,0,DD,0,6,Mohammed Shami,Feroz Shah Kotla,YC Barde,Nitin Menon
40,2017,Kolkata,03-05-2017,KKR,RPS,RPS,field,normal,0,RPS,0,4,RA Tripathi,Eden Gardens,KN Ananthapadmanabhan,A Nand Kishore
41,2017,Delhi,04-05-2017,GL,DD,DD,field,normal,0,DD,0,7,RR Pant,Feroz Shah Kotla,M Erasmus,Nitin Menon
42,2017,Bangalore,05-05-2017,KXIP,RCB,RCB,field,normal,0,KXIP,19,0,Sandeep Sharma,M Chinnaswamy Stadium,CB Gaffaney,C Shamshuddin
43,2017,Hyderabad,06-05-2017,RPS,SRH,SRH,field,normal,0,RPS,12,0,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,AK Chaudhary
44,2017,Delhi,06-05-2017,MI,DD,DD,field,normal,0,MI,146,0,LMP Simmons,Feroz Shah Kotla,Nitin Menon,CK Nandan
45,2017,Bangalore,07-05-2017,RCB,KKR,KKR,field,normal,0,KKR,0,6,SP Narine,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin
46,2017,Chandigarh,07-05-2017,KXIP,GL,GL,field,normal,0,GL,0,6,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,VK Sharma
47,2017,Hyderabad,08-05-2017,MI,SRH,MI,bat,normal,0,SRH,0,7,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,M Erasmus
48,2017,Chandigarh,09-05-2017,KXIP,KKR,KKR,field,normal,0,KXIP,14,0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,S Ravi
49,2017,Kanpur,10-05-2017,GL,DD,DD,field,normal,0,DD,0,2,SS Iyer,Green Park,YC Barde,AK Chaudhary
50,2017,Mumbai,11-05-2017,KXIP,MI,MI,field,normal,0,KXIP,7,0,WP Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore
51,2017,Delhi,12-05-2017,DD,RPS,DD,bat,normal,0,DD,7,0,KK Nair,Feroz Shah Kotla,KN Ananthapadmanabhan,CK Nandan
52,2017,Kanpur,13-05-2017,GL,SRH,SRH,field,normal,0,SRH,0,8,Mohammed Siraj,Green Park,AK Chaudhary,Nitin Menon
53,2017,Kolkata,13-05-2017,MI,KKR,KKR,field,normal,0,MI,9,0,AT Rayudu,Eden Gardens,A Nand Kishore,S Ravi
54,2017,Pune,14-05-2017,KXIP,RPS,RPS,field,normal,0,RPS,0,9,JD Unadkat,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh
55,2017,Delhi,14-05-2017,RCB,DD,RCB,bat,normal,0,RCB,10,0,HV Patel,Feroz Shah Kotla,CK Nandan,C Shamshuddin
56,2017,Mumbai,16-05-2017,RPS,MI,MI,field,normal,0,RPS,20,0,Washington Sundar,Wankhede Stadium,S Ravi,C Shamshuddin
57,2017,Bangalore,17-05-2017,SRH,KKR,KKR,field,normal,1,KKR,0,7,NM Coulter-Nile,M Chinnaswamy Stadium,AK Chaudhary,Nitin Menon
58,2017,Bangalore,19-05-2017,KKR,MI,MI,field,normal,0,MI,0,6,KV Sharma,M Chinnaswamy Stadium,NJ Llong,Nitin Menon
59,2017,Hyderabad,21-05-2017,MI,RPS,MI,bat,normal,0,MI,1,0,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,S Ravi
60,2008,Bangalore,18-04-2008,KKR,RCB,RCB,field,normal,0,KKR,140,0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen
61,2008,Chandigarh,19-04-2008,CSK,KXIP,CSK,bat,normal,0,CSK,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri
62,2008,Delhi,19-04-2008,RR,DD,RR,bat,normal,0,DD,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar
63,2008,Mumbai,20-04-2008,MI,RCB,MI,bat,normal,0,RCB,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ HaRPSer
64,2008,Kolkata,20-04-2008,DC,KKR,DC,bat,normal,0,KKR,0,5,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan
65,2008,Jaipur,21-04-2008,KXIP,RR,KXIP,bat,normal,0,RR,0,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin
66,2008,Hyderabad,22-04-2008,DC,DD,DC,bat,normal,0,DD,0,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba
67,2008,Chennai,23-04-2008,CSK,MI,MI,field,normal,0,CSK,6,0,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ HaRPSer,GA Pratapkumar
68,2008,Hyderabad,24-04-2008,DC,RR,RR,field,normal,0,RR,0,3,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson
69,2008,Chandigarh,25-04-2008,KXIP,MI,MI,field,normal,0,KXIP,66,0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba
70,2008,Bangalore,26-04-2008,RCB,RR,RR,field,normal,0,RR,0,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell
71,2008,Chennai,26-04-2008,KKR,CSK,KKR,bat,normal,0,CSK,0,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash
72,2008,Mumbai,27-04-2008,MI,DC,DC,field,normal,0,DC,0,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri
73,2008,Chandigarh,27-04-2008,DD,KXIP,DD,bat,normal,0,KXIP,0,4,SM Katich,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram
74,2008,Bangalore,28-04-2008,CSK,RCB,CSK,bat,normal,0,CSK,13,0,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin
75,2008,Kolkata,29-04-2008,KKR,MI,KKR,bat,normal,0,MI,0,7,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash
76,2008,Delhi,30-04-2008,DD,RCB,RCB,field,normal,0,DD,10,0,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram
77,2008,Hyderabad,01-05-2008,DC,KXIP,KXIP,field,normal,0,KXIP,0,7,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,RB Tiffin
78,2008,Jaipur,01-05-2008,RR,KKR,RR,bat,normal,0,RR,45,0,SA Asnodkar,Sawai Mansingh Stadium,RE Koertzen,GA Pratapkumar
79,2008,Chennai,02-05-2008,CSK,DD,CSK,bat,normal,0,DD,0,8,V Sehwag,"MA Chidambaram Stadium, Chepauk",BF Bowden,K Hariharan
80,2008,Hyderabad,25-05-2008,DC,RCB,DC,bat,normal,0,RCB,0,5,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,RE Koertzen
81,2008,Chandigarh,03-05-2008,KXIP,KKR,KXIP,bat,normal,0,KXIP,9,0,IK Pathan,"Punjab Cricket Association Stadium, Mohali",DJ HaRPSer,I Shivram
82,2008,Mumbai,04-05-2008,MI,DD,DD,field,normal,0,MI,29,0,SM Pollock,Dr DY Patil Sports Academy,IL Howell,RE Koertzen
83,2008,Jaipur,04-05-2008,CSK,RR,CSK,bat,normal,0,RR,0,8,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,AV Jayaprakash
84,2008,Bangalore,05-05-2008,RCB,KXIP,KXIP,field,normal,0,KXIP,0,6,S Sreesanth,M Chinnaswamy Stadium,SJ Davis,BR Doctrove
85,2008,Chennai,06-05-2008,CSK,DC,DC,field,normal,0,DC,0,7,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",MR Benson,RB Tiffin
86,2008,Mumbai,07-05-2008,RR,MI,MI,field,normal,0,MI,0,7,A Nehra,Dr DY Patil Sports Academy,DJ HaRPSer,RE Koertzen
87,2008,Delhi,08-05-2008,DD,CSK,CSK,field,normal,0,CSK,0,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin
88,2008,Kolkata,08-05-2008,KKR,RCB,KKR,bat,normal,0,KKR,5,0,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell
89,2008,Jaipur,09-05-2008,DC,RR,RR,field,normal,0,RR,0,8,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba
90,2008,Bangalore,28-05-2008,RCB,MI,MI,field,normal,0,MI,0,9,CRD Fernando,M Chinnaswamy Stadium,BF Bowden,AV Jayaprakash
91,2008,Chennai,10-05-2008,CSK,KXIP,KXIP,field,normal,0,CSK,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling
92,2008,Hyderabad,11-05-2008,KKR,DC,KKR,bat,normal,0,KKR,23,0,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba
93,2008,Jaipur,11-05-2008,DD,RR,RR,field,normal,0,RR,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen
94,2008,Chandigarh,12-05-2008,RCB,KXIP,RCB,bat,normal,0,KXIP,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram
95,2008,Kolkata,13-05-2008,KKR,DD,KKR,bat,normal,0,KKR,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell
96,2008,Mumbai,14-05-2008,CSK,MI,MI,field,normal,0,MI,0,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba
97,2008,Chandigarh,28-05-2008,KXIP,RR,RR,field,normal,0,KXIP,41,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan
98,2008,Delhi,15-05-2008,DD,DC,DC,field,normal,0,DD,12,0,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar
99,2008,Mumbai,16-05-2008,KKR,MI,MI,field,normal,0,MI,0,8,SM Pollock,Wankhede Stadium,BR Doctrove,DJ HaRPSer
100,2008,Delhi,17-05-2008,DD,KXIP,DD,bat,normal,1,KXIP,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen
101,2008,Jaipur,17-05-2008,RR,RCB,RCB,field,normal,0,RR,65,0,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri
102,2008,Hyderabad,18-05-2008,MI,DC,DC,field,normal,0,MI,25,0,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,DJ HaRPSer
103,2008,Kolkata,18-05-2008,KKR,CSK,KKR,bat,normal,1,CSK,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan
104,2008,Bangalore,19-05-2008,RCB,DD,DD,field,normal,0,DD,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar
105,2008,Kolkata,20-05-2008,KKR,RR,RR,field,normal,0,RR,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen
106,2008,Mumbai,21-05-2008,KXIP,MI,MI,field,normal,0,KXIP,1,0,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar
107,2008,Chennai,21-05-2008,RCB,CSK,RCB,bat,normal,0,RCB,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ HaRPSer,I Shivram
108,2008,Chandigarh,23-05-2008,DC,KXIP,KXIP,field,normal,0,KXIP,0,6,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SJ Davis
109,2008,Delhi,24-05-2008,MI,DD,DD,field,normal,0,DD,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan
110,2008,Chennai,24-05-2008,RR,CSK,RR,bat,normal,0,RR,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ HaRPSer,SL Shastri
111,2008,Bangalore,03-05-2008,RCB,DC,DC,field,normal,0,RCB,3,0,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri
112,2008,Kolkata,25-05-2008,KXIP,KKR,KXIP,bat,normal,0,KKR,0,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram
113,2008,Jaipur,26-05-2008,MI,RR,RR,field,normal,0,RR,0,5,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan
114,2008,Hyderabad,27-05-2008,DC,CSK,DC,bat,normal,0,CSK,0,7,SK Raina,"Rajiv Gandhi International Stadium, Uppal",BG Jerling,AM Saheba
115,2008,Mumbai,30-05-2008,RR,DD,DD,field,normal,0,RR,105,0,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen
116,2008,Mumbai,31-05-2008,KXIP,CSK,KXIP,bat,normal,0,CSK,0,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ HaRPSer
117,2008,Mumbai,01-06-2008,CSK,RR,RR,field,normal,0,RR,0,3,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen
118,2010,Mumbai,12-03-2010,KKR,DC,DC,field,normal,0,KKR,11,0,AD Mathews,Dr DY Patil Sports Academy,RE Koertzen,RB Tiffin
119,2010,Mumbai,13-03-2010,MI,RR,MI,bat,normal,0,MI,4,0,YK Pathan,Brabourne Stadium,RE Koertzen,RB Tiffin
120,2010,Chandigarh,13-03-2010,KXIP,DD,DD,field,normal,0,DD,0,5,G Gambhir,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi
121,2010,Kolkata,14-03-2010,RCB,KKR,KKR,field,normal,0,KKR,0,7,MK Tiwary,Eden Gardens,HDPK Dharmasena,AM Saheba
122,2010,Chennai,14-03-2010,DC,CSK,DC,bat,normal,0,DC,31,0,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ HaRPSer
123,2010,Ahmedabad,15-03-2010,RR,DD,DD,field,normal,0,DD,0,6,V Sehwag,"Sardar Patel Stadium, Motera",BG Jerling,RE Koertzen
124,2010,Bangalore,16-03-2010,KXIP,RCB,KXIP,bat,normal,0,RCB,0,8,JH Kallis,M Chinnaswamy Stadium,S Das,DJ HaRPSer
125,2010,Kolkata,16-03-2010,CSK,KKR,CSK,bat,normal,0,CSK,55,0,MS Dhoni,Eden Gardens,HDPK Dharmasena,AM Saheba
126,2010,Delhi,17-03-2010,MI,DD,DD,field,normal,0,MI,98,0,SR Tendulkar,Feroz Shah Kotla,BR Doctrove,SK Tarapore
127,2010,Bangalore,18-03-2010,RR,RCB,RCB,field,normal,0,RCB,0,10,JH Kallis,M Chinnaswamy Stadium,K Hariharan,DJ HaRPSer
128,2010,Delhi,19-03-2010,DD,CSK,DD,bat,normal,0,CSK,0,5,ML Hayden,Feroz Shah Kotla,BR Doctrove,SK Tarapore
129,2010,Cuttack,19-03-2010,DC,KXIP,KXIP,field,normal,0,DC,6,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus
130,2010,Ahmedabad,20-03-2010,RR,KKR,RR,bat,normal,0,RR,34,0,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",RE Koertzen,RB Tiffin
131,2010,Mumbai,20-03-2010,MI,RCB,MI,bat,normal,0,RCB,0,7,JH Kallis,Brabourne Stadium,HDPK Dharmasena,SS Hazare
132,2010,Cuttack,21-03-2010,DC,DD,DC,bat,normal,0,DC,10,0,A Symonds,Barabati Stadium,BF Bowden,M Erasmus
133,2010,Chennai,21-03-2010,KXIP,CSK,CSK,field,tie,0,KXIP,0,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ HaRPSer
134,2010,Mumbai,22-03-2010,KKR,MI,KKR,bat,normal,0,MI,0,7,SR Tendulkar,Brabourne Stadium,SS Hazare,SJA Taufel
135,2010,Bangalore,23-03-2010,RCB,CSK,CSK,field,normal,0,RCB,36,0,RV Uthappa,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin
136,2010,Chandigarh,24-03-2010,RR,KXIP,KXIP,field,normal,0,RR,31,0,AC Voges,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,SK Tarapore
137,2010,Mumbai,25-03-2010,CSK,MI,MI,field,normal,0,MI,0,5,SR Tendulkar,Brabourne Stadium,BF Bowden,AM Saheba
138,2010,Ahmedabad,26-03-2010,DC,RR,DC,bat,normal,0,RR,0,8,YK Pathan,"Sardar Patel Stadium, Motera",HDPK Dharmasena,SJA Taufel
139,2010,Chandigarh,27-03-2010,KKR,KXIP,KKR,bat,normal,0,KKR,39,0,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi
140,2010,Bangalore,25-03-2010,DD,RCB,RCB,field,normal,0,DD,17,0,KM Jadhav,M Chinnaswamy Stadium,BG Jerling,RE Koertzen
141,2010,Ahmedabad,28-03-2010,RR,CSK,RR,bat,normal,0,RR,17,0,NV Ojha,"Sardar Patel Stadium, Motera",SS Hazare,SJA Taufel
